ibge_city_id,ibge_id,name
1100288,110028805011,Nova Morada
1100288,110028805012,Centro
1100288,110028805013,Mutirão
1100304,110030405001,Jardim Eldorado
1100304,110030405002,Parque São Paulo
1100304,110030405003,Jardim América
1100304,110030405004,Alto Alegre
1100304,110030405005,Marcos Freire
1100304,110030405006,Tancredo Neves
1100304,110030405007,Nova Esperança
1100320,110032005001,Centro
1100320,110032005002,Novo Oriente
1100320,110032005003,Cristo Rei
1100320,110032005004,Planalto
1100338,110033805001,Centro
1100338,110033805002,São José
1100338,110033805003,Santa Luzia
1100338,110033805004,Planalto
1100338,110033805005,Nossa Senhora de Fátima
1100338,110033805006,Cidade Nova
1100338,110033805007,João Clímaco
1101500,110150005001,Centro
1101500,110150005002,Cristo Rei
1101500,110150005003,São José
1101500,110150005004,Jardim das Américas
1101500,110150005005,Bela Vista
1101708,110170805001,Novo Horizonte
1101708,110170805002,Santíssima Trindade
1101708,110170805003,Alto Alegre
1101708,110170805004,Centro
1101708,110170805005,Sumaúma
1300060,130006005001,Centro
1300060,130006005002,São Francisco
1300060,130006005003,Santa Etelvina
1300409,130040905001,Centro
1300409,130040905002,São Sebastião
1300409,130040905003,São Francisco
1300409,130040905004,Nossa Senhora de Nazaré
1300409,130040905005,Nossa Senhora Aparecida
1300409,130040905006,Marivá
1300409,130040905007,Morara
1300409,130040905008,Santo Antônio
1300508,130050805001,Centro
1300508,130050805002,São Judas Tadeu
1300508,130050805003,São Benedito
1300508,130050805004,Urbano Novo
1300508,130050805005,Beira Rio
1300607,130060705001,Centro
1300607,130060705002,Coimbra
1300607,130060705003,Colônia
1300607,130060705004,Cohabam
1300607,130060705005,Javarizinho
1300607,130060705006,Umarizal
1300607,130060705007,Bom Jardim
1300607,130060705008,Cidade Nova
1300607,130060705009,Castanhal
1300706,130070605001,Praia do Gado
1300706,130070605002,Platô do Piquiá
1300706,130070605003,Fortaleza
1300706,130070605004,Macaxeiral
1300706,130070605005,Lago Novo
1300805,130080505001,Centro
1300805,130080505002,São Sebastião
1300805,130080505003,Ipiranga
1300805,130080505004,Cristo Rei
1300805,130080505005,Recreio
1301001,130100105001,Centro
1301001,130100105002,Fátima
1301001,130100105003,Samuel Amaral
1301001,130100105004,Nova República
1301100,130110005001,Urbano Centro
1301100,130110005002,Urbano Vista Alegre
1301100,130110005003,Urbano Horizonte
1301100,130110005004,Urbano Industrial
1301100,130110005005,Urbano Sebastião Borges
1301209,130120905001,Do Pera
1301209,130120905002,Chagas Aguiar
1301209,130120905003,Santa Helena
1301209,130120905004,Duque de Caxias
1301209,130120905005,Itamarati
1301209,130120905006,Santa Efigênia
1301209,130120905007,União
1301209,130120905008,Urucu
1301209,130120905009,Espírito Santo
1301209,130120905010,Tauá Mirim
1301209,130120905011,Centro
1301407,130140705001,Centro
1301407,130140705002,Nossa Senhora do Perpétuo Socorro
1301407,130140705003,Santo Antônio
1301407,130140705004,Nossa Senhora Aparecida
1301407,130140705005,Nossa Senhora de Fátima
1301407,130140705006,São José
1301704,130170405001,São Domingos Sávio
1301704,130170405002,Nova Humaitá
1301704,130170405003,São Pedro
1301704,130170405004,São Sebastião
1301704,130170405005,São Francisco
1301704,130170405006,Santo Antônio
1301704,130170405007,Novo Centenário
1301704,130170405008,São José
1301704,130170405009,Centro
1301704,130170405010,São Cristóvão
1301704,130170405011,Nossa Senhora do Carmo
1301704,130170405012,Divino Pranto
1301704,130170405013,Nova Esperança
1301902,130190205001,Centro
1301902,130190205002,Colônia
1301902,130190205003,Jauary
1301902,130190205004,Prainha
1301902,130190205005,Pedreiras
1301902,130190205006,Do Iracy
1301902,130190205007,Santa Luzia
1301902,130190205008,São Jorge
1301902,130190205009,Santo Antônio
1301902,130190205010,Araújo Costa
1301902,130190205011,São Cristóvão
1301902,130190205012,São Francisco
1301902,130190205013,Tiradentes
1301902,130190205015,Florestal
1301902,130190205016,Da Paz
1301902,130190205017,Eduardo Braga I
1301902,130190205018,Eduardo Braga II
1301902,130190205019,Mamoud Amed
1301902,130190205020,jauary II
1301902,130190205021,Jardim Adriana
1301902,130190205022,Mutirão
1301902,130190205023,Nogueira Junior
1301902,130190205024,Jardim Lorena
1301902,130190205025,Centenário
1302405,130240505001,Bairro da Fonte
1302405,130240505002,Centro
1302405,130240505003,São José
1302405,130240505004,Barra Limpa
1302405,130240505005,Nossa Senhora de Fátima
1302405,130240505006,Vila Falcão
1302405,130240505007,Pantanal
1302405,130240505008,Bairro Novo
